t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,ContL2Indicator,ContH1Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627884276245,0.0324325553458932,0.279808748008829,0.00579627919447387,0.0316142793463321,8.66125669047738e-06,44628.9095335929,-0.232782157930052,2.84996945983954,0.99584487534626,0.00415512465373961
0.1,4.44089209850063e-16,4,1.62245364537448e-05,7.30203726202628e-05,0.000332737502631887,1.6224536445506e-05,7.24129612437875e-05,0.28993166038092,317.989629240796,0.249934919742368,2.03209415769395,1,0
0.001,2.22044604925031e-16,2,1.45703869266001e-07,6.5578637431556e-07,2.98865130961561e-06,1.45703869223614e-07,6.50329846796155e-07,0.321828073274578,317.980027716835,0.250000122893273,2.03209755608538,1,0
1e-05,4.16333634234434e-16,2,1.45554587242378e-09,6.55104625239308e-09,2.9863411480395e-08,1.4555459033078e-09,6.49664185899893e-09,0.322147037308224,317.979941586379,0.250000243574925,2.03209758664061,1,0
1e-07,2.22044604925031e-16,1,1.45464931492481e-11,6.54252465458805e-11,4.27114193377219e-10,1.45465256873654e-11,6.50125542244253e-11,0.322150226948555,317.979940725958,0.250000237743144,2.03209758694586,1,0
1e-09,3.33066907387547e-16,1,1.39597664019381e-13,2.78017448982143e-12,2.99709603451427e-10,1.39720400077558e-13,3.34521748822228e-12,0.322150258844953,317.979940717358,0.250000237684796,2.03209758694891,1,0
1e-11,2.22044604925031e-16,1,2.97416137667124e-14,2.73617355623466e-12,2.99648121043807e-10,3.01571819891118e-14,3.28875327220312e-12,0.322150259163917,317.979940717273,0.250000237684221,2.03209758694894,1,0
1e-13,1.38777878078145e-16,1,3.01420783231972e-14,2.73632861653216e-12,2.99630297211609e-10,3.05541306852666e-14,3.28882569782456e-12,0.32215025916711,317.979940717269,0.250000237684226,2.03209758694894,1,0
1e-19,1.2490009027033e-16,0,3.01420783231972e-14,2.73632861653216e-12,2.99630297211609e-10,3.05541306852666e-14,3.28882569782456e-12,0.322150259167142,317.979940717269,0.250000237684226,2.03209758694894,1,0
