t,ResidualInf,AuxResidualInf,MAResidualInf,LapTermInf,CubicTermInf,DetTermInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,AuxJacobianSigmaMin,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio,DetPositiveRatio,SolutionMin,SolutionMax
1,8.88178419700125e-16,8.88178419700125e-16,25.2606872890151,5.2643575557418,0.0291614365480344,0,21,0.555983112179673,3.20725283230339,26.838536256411,0.0464516100347473,3431.24177924444,0.0464516100347473,-62.2437943555102,97.6272496652057,0.2744140625,0.7255859375,0.2744140625,-0.473740893037834,2.98564116860541
0.1,5.02375918642883e-15,2.78955004494923,0.309950004994355,0.236037545575931,0.0140074499291449,5.03995500449491,4,0.0106846219239824,0.0554740602620804,0.467567015287334,0.0495784951919432,15061.6026675406,0.0464516098124969,-21.3401491565328,8.93566202861071,0.998046875,0,1,2.28781612278646e-06,2.98651181432918
0.001,4.73059091898875e-15,2.84435911569862,0.00284720632201818,0.0023006458187342,0.000144995065567172,5.28755435911568,4,0.00011588486143988,0.00167777554970868,0.264910855214887,0.048490364291422,16472.1953381815,0.0464516098080478,-23.7759051185748,7.91057491996208,0.998046875,0,1,1.87652540690173e-06,2.9865298305971
1e-05,5.14033463689355e-15,2.84486682565193,2.84489527508924e-05,2.30009166502982e-05,1.45041509318238e-06,5.28997554866825,2,2.30769613233194e-05,0.00155124566195824,0.264877900577674,0.0484824661364117,16485.5348743734,0.0464516098080093,-23.7970000121742,7.90211939155205,0.998046875,0,1,1.8718105032752e-06,2.98652998642265
1e-07,2.78891201386001e-11,2.84487189902088,2.84515107473737e-07,2.30008612748353e-07,1.45041973495579e-08,5.28999975551507,1,2.23784056959473e-05,0.00155076813704293,0.264877804267694,0.0484823876554113,16485.6681148257,0.0464516098080086,-23.7972106644173,7.90203498453677,0.998046875,0,1,1.87176328208884e-06,2.9865299879787
1e-09,2.26530199253498e-15,2.84487194975891,2.84487366997155e-09,2.30008607210326e-09,1.45041978137813e-10,5.28999999755486,1,2.23715262524484e-05,0.00155076344487237,0.264877803332609,0.0484823868779117,16485.6694447011,0.0464516098080091,-23.7972127698541,7.90203414111069,0.998046875,0,1,1.87176280920619e-06,2.98652998799425
1e-11,1.41163688740594e-15,2.84487195026625,2.84501311398344e-11,2.30008607154951e-11,1.4504197818423e-12,5.28999999997554,1,2.23714574758704e-05,0.00155076339795951,0.264877803323276,0.0484823868700492,16485.66945803,0.046451609808009,-23.7972127909188,7.90203413267025,0.998046875,0,1,1.8717628044846e-06,2.98652998799441
1e-13,2.81656439448049e-11,2.84487195026625,2.84501311398344e-11,2.30008607154951e-13,1.4504197818423e-14,5.29000000002791,0,2.23714574758704e-05,0.00155076339795951,0.264877803323276,0.04848238687005,16485.6694581645,0.046451609808009,-23.7972127909188,7.90203413267025,0.998046875,0,1,1.8717628044846e-06,2.98652998799441
0,2.84501311398344e-11,2.84487195026625,2.84501311398344e-11,0,0,5.29000000002844,0,2.23714574758704e-05,0.00155076339795951,0.264877803323276,0.0484823868700502,16485.6694581657,0.046451609808009,-23.7972127909188,7.90203413267025,0.998046875,0,1,1.8717628044846e-06,2.98652998799441
