t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,5.73566427172064e-05,0.000368727815044169,0.00438255344727406,0.00153153333167688,252.38808853063,0.249756495539697,0.339847483158081,1,0
0.1,3.678079976005e-14,2,2.7728984939589e-07,1.27328220228438e-06,6.13325119685253e-06,1.61582725843198,9.66760212376855,0.249917989519249,0.339206838821052,1,0
0.001,2.10104156295188e-12,1,2.48529617180785e-09,1.14142579894496e-08,5.50127221782949e-08,1.79376673008195,9.66971260707167,0.24991709734377,0.339208564186593,1,0
1e-05,1.66533453693773e-16,1,2.48274751186509e-11,1.14033437864389e-10,5.49801851732494e-10,1.79554612469672,9.66973161192433,0.249917089371545,0.339208579640918,1,0
1e-07,6.93889390390723e-17,1,2.52155982340596e-13,1.1674613373555e-12,6.13205607094328e-12,1.79556391864274,9.66973180178475,0.249917089291906,0.339208579795402,1,0
