t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000228572659186486,0.00148779267473634,0.0184932711153845,8.08368478734583e-07,478176.044038275,0.229414049070906,0.411259864859956,1,0
0.1,1.74370877979724e-11,2,1.06613973254313e-06,4.8778540133778e-06,2.35563989157813e-05,0.127231454234959,535.860644712405,0.249996305651899,0.399753086348189,1,0
0.001,3.09429704081765e-11,1,9.56069510448224e-09,4.37502312400517e-08,2.11394620809447e-07,0.141227082089414,535.864568057111,0.249999967441417,0.399746780621103,1,0
1e-05,2.38697950294409e-15,1,9.55297145723406e-11,4.37463046601485e-10,2.1786005112209e-09,0.141367038415592,535.8646033633,0.249999999701161,0.39974672538629,1,0
1e-07,2.22044604925031e-16,1,1.03022479022038e-12,6.50399452250649e-12,5.1037150494869e-10,0.14136843797878,535.864603716569,0.249999999876067,0.399746724831656,1,0
1e-09,6.05704375544747e-12,0,1.03022479022038e-12,6.50399452250649e-12,5.1037150494869e-10,0.141368451974351,535.864603723923,0.249999999876067,0.399746724831656,1,0
1e-11,6.11760642144077e-12,0,1.03022479022038e-12,6.50399452250649e-12,5.1037150494869e-10,0.141368452114307,535.864603723996,0.249999999876067,0.399746724831656,1,0
1e-13,6.11821704410431e-12,0,1.03022479022038e-12,6.50399452250649e-12,5.1037150494869e-10,0.141368452115706,535.864603723997,0.249999999876067,0.399746724831656,1,0
1e-29,6.11821704410431e-12,0,1.03022479022038e-12,6.50399452250649e-12,5.1037150494869e-10,0.141368452115721,535.864603723996,0.249999999876067,0.399746724831656,1,0
