t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000228572626527222,0.00150188150630504,0.0182933959101835,3.14728340393747e-05,12281.7805604335,0.234700217658497,0.403843582239148,1,0
0.1,5.55111512312578e-17,3,1.06613890791006e-06,4.89267509140176e-06,2.36187673641946e-05,0.441473553707306,78.9368461019875,0.24999634426658,0.399076470841063,1,0
0.001,5.55111512312578e-17,2,9.55553113605467e-09,4.38600989400838e-08,2.1186348149397e-07,0.490040155275702,78.9404570488132,0.249999967291372,0.399070270435512,1,0
1e-05,2.55351295663786e-15,1,9.54547714788934e-11,4.38138332604071e-10,2.11636683461704e-09,0.490525821278387,78.940489584114,0.249999999677282,0.399070214879752,1,0
1e-07,1.66533453693773e-16,1,9.5259349779858e-13,4.37141112606203e-12,2.13945992366184e-11,0.490530677938415,78.9404899091444,0.249999999986915,0.399070214331936,1,0
1e-09,5.55111512312578e-17,1,8.52707076293689e-15,9.51995183755257e-14,3.7458557597916e-12,0.490530726505016,78.9404899123946,0.249999999986906,0.399070214337379,1,0
1e-11,1.11022302462516e-16,1,4.2757719408115e-15,8.99186288455882e-14,3.75021240485912e-12,0.490530726990682,78.9404899124271,0.249999999986906,0.399070214337434,1,0
1e-13,4.9960036108132e-16,0,4.2757719408115e-15,8.99186288455882e-14,3.75021240485912e-12,0.490530726995539,78.9404899124274,0.249999999986906,0.399070214337434,1,0
1e-15,4.9960036108132e-16,0,4.2757719408115e-15,8.99186288455882e-14,3.75021240485912e-12,0.490530726995588,78.9404899124273,0.249999999986906,0.399070214337434,1,0
