t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000446418820969484,0.00218786313016742,0.0134326731945623,1.87290029541882e-06,206387.08970896,0.160257332939239,0.290271735083818,1,0
0.1,3.53190809931903e-11,2,2.87783991876357e-06,1.28747975582055e-05,5.72729031682536e-05,0.168638276262741,292.149391214851,0.160274932946088,0.29016333001577,1,0
0.001,8.32667268468867e-17,2,2.57573195330869e-08,1.152336990865e-07,5.12621763886273e-07,0.187189086671894,292.148516260648,0.160260867124133,0.290163352308696,1,0
1e-05,1.92623694772465e-14,1,2.57296816963281e-10,1.15108428509155e-09,5.12150891812097e-09,0.187374594706399,292.148508758089,0.160260741632378,0.290163352510933,1,0
1e-07,1.11022302462516e-16,1,2.56243501220974e-12,1.14704098560701e-11,8.57038914735006e-11,0.18737644978675,292.148508683146,0.160260740378764,0.290163352512953,1,0
1e-09,1.31015198689965e-11,0,2.56243501220974e-12,1.14704098560701e-11,8.57038914735006e-11,0.187376468337215,292.148508686827,0.160260740378764,0.290163352512953,1,0
1e-11,1.32325261859023e-11,0,2.56243501220974e-12,1.14704098560701e-11,8.57038914735006e-11,0.18737646852272,292.148508686864,0.160260740378764,0.290163352512953,1,0
1e-13,1.32338584535319e-11,0,2.56243501220974e-12,1.14704098560701e-11,8.57038914735006e-11,0.187376468524576,292.148508686863,0.160260740378764,0.290163352512953,1,0
1e-25,1.32338584535319e-11,0,2.56243501220974e-12,1.14704098560701e-11,8.57038914735006e-11,0.187376468524594,292.148508686863,0.160260740378764,0.290163352512953,1,0
