Level,N,TargetP,StartT,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalContL2,FinalContH1,CPUSeconds,FinalJacobianCond,FailureReason
1,2,3,1,0.001,24,121,1,1,0.001,3.46595503745274e-17,0.00196739631076651,0.015138344273932,0.15077454469611,0.00196739639509092,0.0150501253434381,4.7560961,1.55762218081363,
2,4,5,0.001,1e-05,24,121,1,1,1e-05,5.55111512312578e-17,0.00024917998641905,0.00292183829205236,0.0497825769432386,0.000249180099968979,0.00291030775185467,4.0637,3.67411868719009,
3,6,7,1e-05,1e-07,24,121,1,1,1e-07,1.38777878078145e-16,2.45168295981366e-05,0.000376351065203836,0.00885526954424755,2.45168627762529e-05,0.000377128566098795,3.823268,8.51951074174445,
4,8,9,1e-07,1e-09,24,121,1,1,1e-09,3.46944695195361e-17,1.85960009483933e-06,3.64658908805464e-05,0.00105738010800753,1.85960454971965e-06,3.66507160330367e-05,3.796257,16.3859102513849,
5,10,11,1e-09,1e-11,24,121,1,1,1e-11,2.42861286634358e-17,1.1961699329595e-07,2.83795050886274e-06,9.75891281100234e-05,1.19617304189966e-07,2.84603688834063e-06,10.2263608,28.2941679838907,
6,12,13,1e-11,1e-13,26,121,1,1,1e-13,1.36002320516582e-15,6.57894753877443e-09,1.84278585967923e-07,7.52232216653124e-06,6.57896284624914e-09,1.83813737826215e-07,3.762789,44.9805325240677,
7,14,15,1e-13,1e-15,30,121,1,1,1e-15,2.77555756156289e-17,3.16814699864043e-10,1.02246353267544e-08,4.9848737223544e-07,3.16816790212472e-10,1.01555899582695e-08,3.6921947,67.2879123858299,
8,18,19,1e-15,1e-19,38,121,1,1,1e-19,6.04684962583583e-16,5.17627028368101e-13,2.04789051468923e-11,1.35421982708357e-09,5.17665412727493e-13,2.06222499472113e-11,4.2249837,132.068261376004,
