t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,ContL2Indicator,ContH1Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,2.07363559051783e-16,1.73787105754838e-14,2.19815962329468e-12,2.08462653719788e-16,8.30114302833236e-16,0.000162283882184732,2381.89052464571,0.250017372126906,3.23557903217184,1,0
0.1,8.88178419700125e-16,1,7.21695234050699e-15,2.96613792068465e-13,1.57163966583243e-11,7.23212734711397e-15,2.7935347328392e-13,0.868465760875994,137.403166891773,0.250017372129023,3.23557903221111,1,0
0.001,8.88178419700125e-16,0,7.21695234050699e-15,2.96613792068465e-13,1.57163966583243e-11,7.23212734711397e-15,2.7935347328392e-13,0.964026771333813,137.402000765285,0.250017372129023,3.23557903221111,1,0
1e-05,8.88178419700125e-16,0,7.21695234050699e-15,2.96613792068465e-13,1.57163966583243e-11,7.23212734711397e-15,2.7935347328392e-13,0.964982381433692,137.401990272101,0.250017372129023,3.23557903221111,1,0
1e-07,8.88178419700125e-16,0,7.21695234050699e-15,2.96613792068465e-13,1.57163966583243e-11,7.23212734711397e-15,2.7935347328392e-13,0.964991937534692,137.401990167274,0.250017372129023,3.23557903221111,1,0
1e-09,8.88178419700125e-16,0,7.21695234050699e-15,2.96613792068465e-13,1.57163966583243e-11,7.23212734711397e-15,2.7935347328392e-13,0.9649920330957,137.401990166226,0.250017372129023,3.23557903221111,1,0
1e-11,8.88178419700125e-16,0,7.21695234050699e-15,2.96613792068465e-13,1.57163966583243e-11,7.23212734711397e-15,2.7935347328392e-13,0.964992034051314,137.401990166215,0.250017372129023,3.23557903221111,1,0
