t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627914018741,0.032145086494813,0.281149836563487,3.86765702932243e-07,999422.747042953,-0.481932072850053,3.10427499184633,0.996326905417815,0.00367309458218549
0.1,2.22044604925031e-16,4,1.62245365028558e-05,7.27949869561926e-05,0.00033189316969233,0.100085665446432,1672.6607272335,0.249934289916773,2.03649008674897,1,0
0.001,9.99200722162641e-16,2,1.45703925403703e-07,6.5376201031537e-07,2.98105576644396e-06,0.111096106543212,1672.61800221318,0.249999503005196,2.03649123784529,1,0
1e-05,4.44089209850063e-16,2,1.45560200178418e-09,6.53119391611577e-09,2.97769852557937e-08,0.111206210917876,1672.61761889919,0.250000030294944,2.03649124819513,1,0
1e-07,1.11022302462516e-15,1,1.46028191146778e-11,6.56368012688151e-11,6.32440543830001e-10,0.111207311961618,1672.61761507001,0.250000024463507,2.03649124829852,1,0
1e-09,4.85722573273506e-16,1,2.04762530666456e-13,3.66745963243271e-12,5.62547694917316e-10,0.111207322972056,1672.61761503172,0.250000024405181,2.03649124829956,1,0
1e-11,2.63677968348475e-16,1,8.4627831331457e-14,3.56723873097002e-12,5.62570740154344e-10,0.11120732308216,1672.61761503134,0.250000024404585,2.03649124829957,1,0
1e-13,7.7715611723761e-16,1,8.37922767979768e-14,3.56671292553107e-12,5.62570657668794e-10,0.111207323083263,1672.6176150313,0.250000024404612,2.03649124829957,1,0
1e-33,6.66133814775094e-16,0,8.37922767979768e-14,3.56671292553107e-12,5.62570657668794e-10,0.111207323083274,1672.61761503131,0.250000024404612,2.03649124829957,1,0
