Level,N,TargetP,StartT,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalContL2,FinalContH1,CPUSeconds,FinalJacobianCond,FailureReason
1,2,3,1,0.001,24,121,1,1,0.001,4.5102810375397e-17,0.00119694724363571,0.00551749816173713,0.0271812496454123,0.00119694725072736,0.00544991599968981,3.795437,1.62024618438244,
2,4,5,0.001,1e-05,24,121,1,1,1e-05,2.4980018054066e-15,2.32243153918953e-05,0.000193048281993967,0.0023078921505733,2.32243206499216e-05,0.000186280517966998,3.7216581,4.23832120467311,
3,6,7,1e-05,1e-07,24,121,1,1,1e-07,5.55111512312578e-17,9.58325145202885e-13,4.40680136842917e-12,2.15616050068113e-11,9.58333161603318e-13,4.35582344398626e-12,3.6038825,9.6902607604869,
4,8,9,1e-07,1e-09,24,121,1,1,1e-09,2.22044604925031e-16,1.29815429684548e-14,9.99429599507155e-14,3.2251139629693e-12,1.29879932860774e-14,9.58177197745912e-14,3.8170265,18.9047097268646,
5,10,11,1e-09,1e-11,24,121,1,1,1e-11,5.55111512312578e-17,2.82413059850034e-15,1.11724194076295e-13,5.79876989470515e-12,2.81893333007449e-15,1.05701146172568e-13,3.9077763,32.8551292171672,
6,12,13,1e-11,1e-13,26,121,1,1,1e-13,5.55111512312578e-16,2.16171306329869e-14,5.12800243181004e-13,2.74785825042603e-11,2.16222673456456e-14,4.59441355640049e-13,4.0607996,52.5350674402683,
7,14,15,1e-13,1e-15,30,121,1,1,1e-15,5.55111512312578e-17,4.30815309296472e-15,8.9948045131328e-14,3.75098609177796e-12,4.30860725703849e-15,8.48587619458013e-14,4.477362,78.9404899124272,
8,18,19,1e-15,1e-19,38,121,1,1,1e-19,1.04083408558608e-16,1.02655463933345e-14,9.45201902227248e-13,1.03655041699416e-10,1.0416085645492e-14,1.13631831903214e-12,4.2242755,155.915710687723,
