t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627884276245,0.0324325553458932,0.279808748008829,8.66125669047738e-06,44628.9095335929,-0.232782157930052,2.84996945983954,0.99584487534626,0.00415512465373961
0.1,1.21970376126497e-11,3,1.62245364444964e-05,7.30203725750032e-05,0.000332737471126679,0.289931660304865,317.989629325027,0.249934920399792,2.032094096956,1,0
0.001,3.33066907387547e-16,2,1.45703869290289e-07,6.55786374425679e-07,2.98865131011379e-06,0.321828073274574,317.98002771684,0.250000122893278,2.03209755608538,1,0
1e-05,6.13509243407862e-13,1,1.45560937027834e-09,6.55132726434088e-09,2.98646495386678e-08,0.322147037307769,317.979941586864,0.250000243571507,2.03209758664064,1,0
1e-07,4.9960036108132e-16,1,1.45465168514259e-11,6.54253596621737e-11,4.27111506689191e-10,0.322150226948551,317.979940725961,0.25000023774313,2.03209758694586,1,0
1e-09,3.33066907387547e-16,1,1.39605944319707e-13,2.78019904696519e-12,2.99710341133236e-10,0.322150258844954,317.979940717359,0.250000237684806,2.03209758694891,1,0
1e-11,1.55819801506141e-12,0,1.39605944319707e-13,2.78019904696519e-12,2.99710341133236e-10,0.322150259163893,317.979940717372,0.250000237684806,2.03209758694891,1,0
1e-13,1.57385215970862e-12,0,1.39605944319707e-13,2.78019904696519e-12,2.99710341133236e-10,0.322150259167083,317.979940717373,0.250000237684806,2.03209758694891,1,0
1e-19,1.57396318201108e-12,0,1.39605944319707e-13,2.78019904696519e-12,2.99710341133236e-10,0.322150259167116,317.979940717372,0.250000237684806,2.03209758694891,1,0
