t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,ContL2Indicator,ContH1Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,1.88770323099815e-06,1.1282108590437e-05,0.000113407942157149,1.88770327515345e-06,1.10393573689722e-05,8.08368478734583e-07,478176.044038275,0.0098781016516235,0.0122458928861309,1,0
0.1,1.03517802308079e-16,2,2.51839051823328e-07,1.14238076543685e-06,5.37980851095933e-06,2.51839051787372e-07,1.1339643000207e-06,0.00507999061349927,556.574122221449,0.00999971197619967,0.0122140882133616,1,0
0.001,2.16840434497101e-19,2,1.98424463163721e-09,9.03040378617728e-09,4.30643919896156e-08,1.98424459555659e-09,8.96214747431359e-09,0.00563891375409124,556.75339111765,0.0100008362451747,0.0122130060296541,1,0
1e-05,1.05818132034585e-16,1,1.98340966305419e-11,9.03918312759818e-11,4.94220946076786e-10,1.98340608572371e-11,8.96204217237043e-11,0.00564450295930407,556.75503831274,0.0100008447902916,0.0122129976049512,1,0
1e-07,2.16840434497101e-19,1,2.34538662590511e-13,2.29281578311668e-12,2.40189602275537e-10,2.34509179516892e-13,2.30153428050506e-12,0.00564455885135535,556.755054770727,0.0100008447822398,0.0122129975209095,1,0
1e-09,1.0842021724855e-19,1,5.17153039066129e-14,1.99745758874771e-12,2.4011317225541e-10,5.17159683255146e-14,2.0517561099094e-12,0.00564455941027585,556.755054935308,0.0100008447813785,0.0122129975200683,1,0
1e-11,5.17923377796325e-16,0,5.17153039066129e-14,1.99745758874771e-12,2.4011317225541e-10,5.17159683255146e-14,2.0517561099094e-12,0.00564455941586489,556.755054937153,0.0100008447813785,0.0122129975200683,1,0
1e-13,5.23127548224256e-16,0,5.17153039066129e-14,1.99745758874771e-12,2.4011317225541e-10,5.17159683255146e-14,2.0517561099094e-12,0.00564455941592076,556.755054937173,0.0100008447813785,0.0122129975200683,1,0
1e-29,5.23127548224256e-16,0,5.17153039066129e-14,1.99745758874771e-12,2.4011317225541e-10,5.17159683255146e-14,2.0517561099094e-12,0.00564455941592134,556.755054937172,0.0100008447813785,0.0122129975200683,1,0
