Level,N,TargetP,StartT,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalContL2,FinalContH1,CPUSeconds,FinalJacobianCond,FailureReason
1,2,3,1,0.001,24,121,1,1,0.001,5.55111512312578e-17,0.000602452166892015,0.00277707674352771,0.0136800113744273,0.000602452170461252,0.00274306137338869,4.299776,1.58244331251826,
2,4,5,0.001,1e-05,24,121,1,1,1e-05,1.11022302462516e-16,1.16448582436042e-05,9.6650512078182e-05,0.00115378776257938,1.16448608697383e-05,9.32630887787757e-05,4.0722112,4.25881320849108,
3,6,7,1e-05,1e-07,24,121,1,1,1e-07,5.55111512312578e-17,2.52155515250221e-13,1.16745733892442e-12,6.1319328538354e-12,2.52159631784346e-13,1.15182848829084e-12,4.1856672,9.66973180178474,
4,8,9,1e-07,1e-09,24,121,1,1,1e-09,2.77555756156289e-16,6.26548182367306e-15,8.28240527877196e-14,3.21720258342998e-12,6.27069699200331e-15,7.85596139488135e-14,4.2785598,18.7437166371302,
5,10,11,1e-09,1e-11,24,121,1,1,1e-11,5.55111512312578e-17,2.75815031636672e-15,1.11144239966222e-13,5.78460187950615e-12,2.76678032858957e-15,1.04914748135365e-13,3.9344796,32.4386270419182,
6,12,13,1e-11,1e-13,26,121,1,1,1e-13,2.77555756156289e-16,2.1347717562544e-14,5.04220572487688e-13,2.70492383653612e-11,2.1356470379126e-14,4.51877641761238e-13,3.8858055,51.725387362488,
7,14,15,1e-13,1e-15,30,121,1,1,1e-15,5.55111512312578e-17,4.38319737360809e-15,8.90798451400053e-14,3.75557980837515e-12,4.37707298495025e-15,8.3497880093681e-14,5.3045742,77.5768013675064,
8,18,19,1e-15,1e-19,38,121,1,1,1e-19,5.55111512312578e-17,1.01376423176555e-14,9.32083176496011e-13,1.02263682713896e-10,1.02775161966749e-14,1.12178198042596e-12,7.8000754,152.867965364685,
