t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000210209221569438,0.00134946098466966,0.0144889107489067,0.00702470023636448,54.9798326135908,0.24162273888139,0.396260601313442,1,0
0.1,4.16333634234434e-17,3,2.40554019348891e-05,0.000195656878629722,0.00231850760083864,2.72163453101096,4.23665191085605,0.244090241010794,0.395811965130341,1,0
0.001,1.0842021724855e-17,2,2.32316076327037e-05,0.000193071061288496,0.00230798575430748,3.02196148157552,4.23830629325904,0.244094329049341,0.395805571042452,1,0
1e-05,2.55351295663786e-15,1,2.3224315391897e-05,0.000193048281993974,0.00230789215057326,3.02496474921041,4.23832120467311,0.244094365615978,0.395805513740197,1,0
