t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627884520162,0.0324325531432863,0.279778752356159,2.21963356307721e-05,17414.6961785284,-0.160270376265856,2.77271188777092,0.99609375,0.00390625
0.1,1.66533453693773e-16,4,1.62245365251909e-05,7.30203731390048e-05,0.000332737493067175,0.401473999520314,190.34591405232,0.249935623427324,2.02943371972306,1,0
0.001,2.77555756156289e-16,2,1.45703940712011e-07,6.55786899573321e-07,2.98864381371005e-06,0.445642980149461,190.339955275542,0.250000813739141,2.02943845533199,1,0
1e-05,3.33066907387547e-16,2,1.45561733612536e-09,6.55157131482178e-09,2.98546312540973e-08,0.446084669836037,190.339901825305,0.250000473883121,2.0294384979079,1,0
1e-07,2.22044604925031e-16,1,1.46179984960476e-11,6.59164563942852e-11,3.1521516180498e-10,0.44608908673289,190.339901291354,0.25000046805247,2.02943849833323,1,0
1e-09,1.11022302462516e-16,1,2.14036291258505e-13,2.02533731486895e-12,1.0577296870899e-10,0.44608913090186,190.339901286014,0.250000467994159,2.02943849833748,1,0
1e-11,2.77555756156289e-16,1,8.12687032069722e-14,1.7825275795098e-12,1.05790107685038e-10,0.446089131343551,190.33990128596,0.250000467993586,2.02943849833752,1,0
1e-13,1.11022302462516e-16,1,8.01499236765409e-14,1.781073393629e-12,1.05784176736884e-10,0.446089131347967,190.33990128596,0.250000467993579,2.02943849833752,1,0
0,2.22044604925031e-16,0,8.01499236765409e-14,1.781073393629e-12,1.05784176736884e-10,0.446089131348012,190.33990128596,0.250000467993579,2.02943849833752,1,0
