t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000446352659178018,0.00219407102608573,0.0134477293276327,0.000162283882184732,2381.89052464571,0.161157879789685,0.290273880386597,1,0
0.1,3.53533313734999e-11,2,2.94083267626399e-06,1.34921934416342e-05,0.000113325458826765,0.744000920563302,28.2922272185567,0.161134859927587,0.290167160070058,1,0
0.001,1.73472347597681e-17,2,1.34627153184092e-07,2.85253141177955e-06,9.75918877865733e-05,0.825861071458259,28.2941504574795,0.161120873734453,0.290172667041165,1,0
1e-05,1.92901250528621e-14,1,1.19748848570294e-07,2.83807333757196e-06,9.75891423093047e-05,0.82667967290531,28.2941678087992,0.161120748948031,0.290172716188091,1,0
1e-07,5.55111512312578e-17,1,1.19618309666082e-07,2.83795173472568e-06,9.75891282547467e-05,0.82668785891982,28.2941679821399,0.161120747701464,0.290172716679076,1,0
1e-09,1.31017141580259e-11,0,1.19618309666082e-07,2.83795173472568e-06,9.75891282547467e-05,0.826687940778849,28.2941679844443,0.161120747701464,0.290172716679076,1,0
1e-11,1.32327204749316e-11,0,1.19618309666082e-07,2.83795173472568e-06,9.75891282547467e-05,0.82668794159744,28.2941679844673,0.161120747701464,0.290172716679076,1,0
