t,ResidualInf,AuxResidualInf,MAResidualInf,LapTermInf,CubicTermInf,DetTermInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,AuxJacobianSigmaMin,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio,DetPositiveRatio,SolutionMin,SolutionMax
1,4.33680868994202e-17,4.33680868994202e-17,0.239769329806305,0.27587063076314,0.0188232467878804,0,23,0.0440324345227186,0.204110935870708,1.10158436188986,0.0464520782639816,3431.21503504076,0.0464520782639816,-1.19517945809286,1.55381143102412,0.5517578125,0.4482421875,0.5517578125,9.53193425202611e-06,1.03695039060252
0.1,8.75452539525853e-14,0.237453753947616,0.0263837504385826,0.051787551505599,0.00142721164426466,0.241479114401194,3,0.004123638502017,0.0190258996605007,0.100045241903329,0.0513165442762463,3212.94942397819,0.0464520782657262,0.176747427756991,0.474410798605634,1,0,1,2.41939934816774e-06,1.03693917747725
0.001,2.46428150424454e-13,0.261802006491935,0.000262064070791934,0.000542612853757085,1.38830302858697e-05,0.294137381666748,3,4.0308224666614e-05,0.000186203265850957,0.000989530828287848,0.0483422709690924,3517.37300543953,0.0464520782658373,0.248984669500927,0.399992932814581,1,0,1,1.87917915890974e-06,1.03693852589216
1e-05,1.43991069406963e-15,0.262040112235063,2.62042732518397e-06,5.42854700532973e-06,1.38792892531096e-07,0.294688310211123,2,4.02987042681344e-07,1.86161754584205e-06,9.89426087621592e-06,0.0483104147557059,3520.83911981933,0.0464520782658386,0.249989799574518,0.399188968030414,1,0,1,1.87168900131154e-06,1.03693851788698
1e-07,3.9179920136323e-12,0.262042492744177,2.62003339024375e-08,5.4285711843763e-08,1.38792518575667e-09,0.294693821881301,1,4.02922650514164e-09,1.86134700608351e-08,9.89398698911559e-08,0.0483100973788329,3520.87372533591,0.0464520782658388,0.249999897504957,0.399180923143194,1,0,1,1.87161375917134e-06,1.03693851780673
1e-09,3.51063608847224e-16,0.262042516545559,2.62042165743992e-10,5.4285714261291e-10,1.38792514836686e-11,0.294693876994284,1,4.02897482730265e-11,1.86100904079083e-10,9.89270236898009e-10,0.0483100942182751,3520.87407041068,0.0464520782658388,0.249999998918035,0.399180842614251,1,0,1,1.87161300356674e-06,1.03693851780593
1e-11,8.97483116970156e-17,0.262042516783609,2.62051491617399e-12,5.42857142854699e-12,1.38792514799291e-13,0.294693877545452,1,3.94307717453876e-13,1.85328571772604e-12,4.74005258934271e-11,0.0483100941865373,3520.87407387127,0.0464520782658389,0.249999999927659,0.399180841809742,1,0,1,1.87161299604185e-06,1.03693851780592
1e-13,2.59431066449537e-12,0.262042516783609,2.62051491617399e-12,5.42857142854699e-14,1.38792514799291e-15,0.29469387754837,0,3.94307717453876e-13,1.85328571772604e-12,4.74005258934271e-11,0.0483100941865392,3520.87407387343,0.0464520782658389,0.249999999927659,0.399180841809742,1,0,1,1.87161299604185e-06,1.03693851780592
0,2.62051491617399e-12,0.262042516783609,2.62051491617399e-12,0,0,0.294693877548399,0,3.94307717453876e-13,1.85328571772604e-12,4.74005258934271e-11,0.0483100941865392,3520.87407387346,0.0464520782658389,0.249999999927659,0.399180841809742,1,0,1,1.87161299604185e-06,1.03693851780592
