t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000446418817431941,0.00219440923411597,0.013439436677324,8.66125669047738e-06,44628.9095335929,0.160442586009478,0.290281056494031,1,0
0.1,2.77555756156289e-17,3,2.87783338795543e-06,1.28920399879622e-05,5.73473698726605e-05,0.280813353602687,132.067229991304,0.160462191670363,0.290163149540435,1,0
0.001,3.22550146314438e-17,2,2.57576374151316e-08,1.15390704494478e-07,5.13287263907112e-07,0.311704456952746,132.068251933295,0.160448133751716,0.29016319340068,1,0
1e-05,1.11022302462516e-16,2,2.57610809122974e-10,1.15502677194526e-09,5.29878601715899e-09,0.312013367954322,132.068261281691,0.160448008329219,0.290163193789478,1,0
1e-07,6.24500387987551e-17,1,2.91022822292988e-12,2.45420481315417e-11,1.3550037467445e-09,0.312016457064335,132.068261375095,0.160448007076347,0.290163193793362,1,0
1e-09,5.89805981236607e-17,1,5.3328763479914e-13,2.04913736141657e-11,1.3542058002926e-09,0.312016487955435,132.068261376029,0.160448007063818,0.290163193793401,1,0
1e-11,5.55111512312578e-17,1,5.17772295718114e-13,2.04789846764966e-11,1.35421217537682e-09,0.312016488264345,132.068261376039,0.160448007063693,0.290163193793403,1,0
1e-13,1.38777878078145e-15,0,5.17772295718114e-13,2.04789846764966e-11,1.35421217537682e-09,0.312016488267434,132.068261376039,0.160448007063693,0.290163193793403,1,0
1e-19,1.38777878078145e-15,0,5.17772295718114e-13,2.04789846764966e-11,1.35421217537682e-09,0.312016488267466,132.068261376039,0.160448007063693,0.290163193793403,1,0
