t,ResidualInf,NewtonSteps,QuadL2Indicator,QuadH1Indicator,QuadH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627919403168,0.0316142804183093,0.283098759742045,1.87290029541882e-06,206387.08970896,-0.356219869695432,2.9765087758467,0.9964,0.0036
0.1,1.82306118848562e-11,3,1.62245364288577e-05,7.24129611471378e-05,0.000330447051867924,0.171371077249802,724.650157331783,0.249934440922814,2.0348619633461,1,0
0.001,6.66133814775094e-16,2,1.4570386194836e-07,6.50329812215914e-07,2.96807483620824e-06,0.190223792460526,724.629841372086,0.249999649438486,2.03486370291762,1,0
1e-05,6.14619466432487e-13,1,1.45560220294024e-09,6.49689071062432e-09,2.96970071352329e-08,0.190412319553089,724.629659109021,0.250000086538049,2.03486372078924,1,0
1e-07,7.7715611723761e-16,1,1.45392883301527e-11,6.49559295476372e-11,2.0598322436078e-09,0.190414204824272,724.629657287196,0.250000080710471,2.03486372096776,1,0
1e-09,1.94289029309402e-16,1,1.36456340491144e-13,2.87169766088775e-12,1.38206323577958e-09,0.190414223676982,724.629657268987,0.250000080652157,2.03486372096955,1,0
1e-11,1.55853108196879e-12,0,1.36456340491144e-13,2.87169766088775e-12,1.38206323577958e-09,0.190414223865495,724.629657269001,0.250000080652157,2.03486372096955,1,0
1e-13,1.57418522661601e-12,0,1.36456340491144e-13,2.87169766088775e-12,1.38206323577958e-09,0.19041422386738,724.629657269003,0.250000080652157,2.03486372096955,1,0
1e-25,1.57429624891847e-12,0,1.36456340491144e-13,2.87169766088775e-12,1.38206323577958e-09,0.190414223867399,724.629657269004,0.250000080652157,2.03486372096955,1,0
