t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000435600220172488,0.0021562528078912,0.016159199332232,0.00153153333167688,252.38808853063,0.163346044786652,0.291696606474298,1,0
0.1,3.59954909506951e-17,3,2.59966883817377e-05,0.000378209744764298,0.00885637990825332,1.55186883026912,8.51772614842007,0.163363909511766,0.291760975583825,1,0
0.001,1.38777878078145e-16,2,2.45289656803067e-05,0.000376365776951059,0.00885527793951194,1.7227490326912,8.51949464651488,0.163350090376476,0.291769285748716,1,0
1e-05,3.90308708416877e-17,2,2.45169495277303e-05,0.000376351210541167,0.00885526962714688,1.72445783467795,8.51951058254181,0.16334996704787,0.291769359953592,1,0
1e-07,1.11022302462516e-16,1,2.45168295981317e-05,0.000376351065203828,0.00885526954424745,1.72447492269782,8.51951074174445,0.16334996581591,0.291769360694846,1,0
