t,ResidualInf,NewtonSteps,QuadL2Indicator,QuadH1Indicator,QuadH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627919373161,0.031614280513651,0.283111531367781,8.08368478734583e-07,478176.044038275,-0.42333215611407,3.0448245006897,0.995541022592152,0.0044589774078478
0.1,1.99087234548782e-11,3,1.62245366454664e-05,7.24129621080802e-05,0.000330446956762074,0.128631821396091,1132.94551084902,0.249934327873136,2.03584099280989,1,0
0.001,2.35922392732846e-16,2,1.45704078722763e-07,6.50330767710484e-07,2.9679873389589e-06,0.142782668956244,1132.91524001439,0.249999544670204,2.03584312079414,1,0
1e-05,6.13842310315249e-13,1,1.45581894232357e-09,6.49785519465875e-09,2.98276829527166e-08,0.142924177388925,1132.91496841323,0.250000050361954,2.03584313414502,1,0
1e-07,3.33066907387547e-16,1,1.47576266384394e-11,6.69789980074227e-11,4.53346883203685e-09,0.142925592473443,1132.91496569837,0.250000044534733,2.03584313427838,1,0
1e-09,1.80411241501588e-16,1,4.09180243031968e-13,1.23113086329363e-11,4.05602750192359e-09,0.142925606624287,1132.91496567123,0.250000044476417,2.03584313427971,1,0
1e-11,1.55864210427126e-12,0,4.09180243031968e-13,1.23113086329363e-11,4.05602750192359e-09,0.142925606765784,1132.91496567126,0.250000044476417,2.03584313427971,1,0
1e-13,1.57429624891847e-12,0,4.09180243031968e-13,1.23113086329363e-11,4.05602750192359e-09,0.142925606767199,1132.91496567126,0.250000044476417,2.03584313427971,1,0
1e-29,1.57440727122093e-12,0,4.09180243031968e-13,1.23113086329363e-11,4.05602750192359e-09,0.142925606767213,1132.91496567126,0.250000044476417,2.03584313427971,1,0
