t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,5.7353735428897e-05,0.00036896728192704,0.00445863843186514,8.66125669047738e-06,44628.9095335929,0.249833231182802,0.340827235911234,1,0
0.1,4.5102810375397e-17,3,2.77289394442448e-07,1.27305324682845e-06,6.12737456525281e-06,0.282938279611017,152.862871289626,0.249917629388089,0.33967708338699,1,0
0.001,9.36750677027476e-17,2,2.48492962139475e-09,1.14105337500955e-08,5.49529289116703e-08,0.314062659901881,152.867919450515,0.249916722730015,0.339678667735864,1,0
1e-05,1.11022302462516e-16,1,2.48218704718414e-11,1.13938141785737e-10,5.57805902318767e-10,0.314373903702463,152.867964905996,0.249916714627192,0.339678681934907,1,0
1e-07,5.55111512312578e-17,1,2.46758163543501e-13,1.43049608571867e-12,1.02380126480282e-10,0.31437701614047,152.867965360098,0.24991671454625,0.339678682076748,1,0
1e-09,6.67868538251071e-17,1,1.00273131317481e-14,9.31559068983942e-13,1.02274331253092e-10,0.314377047264849,152.867965364639,0.24991671454544,0.339678682078169,1,0
1e-11,7.39425881635114e-17,1,1.0132746334368e-14,9.32105121365741e-13,1.02267072769923e-10,0.314377047576093,152.867965364684,0.249916714545432,0.339678682078185,1,0
1e-13,1.66533453693773e-16,0,1.0132746334368e-14,9.32105121365741e-13,1.02267072769923e-10,0.314377047579205,152.867965364685,0.249916714545432,0.339678682078185,1,0
1e-19,1.66533453693773e-16,0,1.0132746334368e-14,9.32105121365741e-13,1.02267072769923e-10,0.314377047579237,152.867965364685,0.249916714545432,0.339678682078185,1,0
