t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,1.88770322958068e-06,1.12991953381926e-05,0.000113335972258106,1.21256376654277e-06,318781.124714489,0.00987992535039179,0.0122429798304549,1,0
0.1,1.03557824614837e-16,2,2.51839038572391e-07,1.14301865451821e-06,5.38269609335125e-06,0.00582572617435134,451.355421453257,0.00999984044282618,0.0122139301949044,1,0
0.001,1.72031464594491e-12,1,1.99106921721477e-09,9.06545397479608e-09,4.31977852615278e-08,0.00646673505027755,451.525726534671,0.0100009650386038,0.0122128477333697,1,0
1e-05,1.06685493772574e-16,1,1.9820779279866e-11,9.03190954258856e-11,4.44210583654101e-10,0.00647314513342707,451.527284784041,0.0100009733682702,0.0122128395856096,1,0
1e-07,5.18000507938876e-12,0,1.9820779279866e-11,9.03190954258856e-11,4.44210583654101e-10,0.00647320923208218,451.527302001466,0.0100009733682702,0.0122128395856096,1,0
1e-09,5.23180392238143e-12,0,1.9820779279866e-11,9.03190954258856e-11,4.44210583654101e-10,0.00647320987306873,451.527302173639,0.0100009733682702,0.0122128395856096,1,0
1e-11,5.23232195417944e-12,0,1.9820779279866e-11,9.03190954258856e-11,4.44210583654101e-10,0.0064732098794786,451.527302175359,0.0100009733682702,0.0122128395856096,1,0
1e-13,5.23232715834987e-12,0,1.9820779279866e-11,9.03190954258856e-11,4.44210583654101e-10,0.0064732098795427,451.527302175377,0.0100009733682702,0.0122128395856096,1,0
1e-27,5.23232715834987e-12,0,1.9820779279866e-11,9.03190954258856e-11,4.44210583654101e-10,0.00647320987954334,451.527302175377,0.0100009733682702,0.0122128395856096,1,0
