t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627888298361,0.0324325080756232,0.279622405111241,6.76427114401531e-05,5714.47289821501,-0.0638965108831941,2.67376150959454,0.998520710059172,0.0014792899408284
0.1,2.22044604925031e-16,4,1.62245366700541e-05,7.30203742027781e-05,0.000332737459241086,0.592067440262547,102.799906124691,0.249937376954793,2.02477893824806,1,0
0.001,1.66533453693773e-16,2,1.45704085603265e-07,6.557878374682e-07,2.988637241294e-06,0.657209956742655,102.796559245029,0.250001647569565,2.02478601258512,1,0
1e-05,1.11022302462516e-16,2,1.45576221803578e-09,6.55251111406581e-09,2.98508688594585e-08,0.657861381756047,102.796529226171,0.250001063597473,2.02478607619015,1,0
1e-07,1.57859836313889e-16,1,1.47637315064116e-11,6.71611961763816e-11,5.00614796712377e-10,0.657867896006173,102.796528926291,0.250001057763877,2.02478607682556,1,0
1e-09,5.55111512312578e-16,1,3.88902671767566e-13,6.94483505400863e-12,4.07659281940671e-10,0.657867961148674,102.796528923292,0.250001057705532,2.02478607683191,1,0
1e-11,2.22044604925031e-16,1,2.65067025232488e-13,6.78910652898291e-12,4.07731498358343e-10,0.657867961800097,102.796528923263,0.250001057704947,2.02478607683197,1,0
1e-13,1.11022302462516e-16,1,2.63945822160903e-13,6.78787656960708e-12,4.07734003127907e-10,0.657867961806612,102.796528923262,0.250001057704939,2.02478607683198,1,0
