t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627910208287,0.0322155519046024,0.280841826809168,8.08368478734583e-07,478176.044038275,-0.42333215611407,3.0448245006897,0.995541022592152,0.0044589774078478
0.1,4.71844785465692e-16,4,1.6224536657129e-05,7.28489143848835e-05,0.000332095755811403,0.128631821070313,1132.94551371622,0.249934334295588,2.03584163591948,1,0
0.001,2.4980018054066e-16,2,1.4570407875677e-07,6.5424763202059e-07,2.98284788103045e-06,0.142782668956251,1132.91524001433,0.249999544670136,2.03584312079414,1,0
1e-05,4.44089209850063e-16,2,1.45575544832637e-09,6.53722276033908e-09,2.97971226685026e-08,0.142924177389117,1132.91496841162,0.250000050366135,2.03584313414501,1,0
1e-07,2.22044604925031e-16,1,1.47576924247807e-11,6.78092523753377e-11,1.46169260030563e-09,0.142925592473443,1132.91496569837,0.250000044534728,2.03584313427839,1,0
1e-09,3.33066907387547e-16,1,4.08981620452425e-13,1.2014790629499e-11,1.438394301882e-09,0.142925606624286,1132.91496567124,0.250000044476411,2.03584313427972,1,0
1e-11,2.22044604925031e-16,1,2.97048679083106e-13,1.19206777609086e-11,1.43846833846815e-09,0.142925606765794,1132.91496567098,0.250000044475812,2.03584313427973,1,0
1e-13,3.46944695195361e-16,1,2.96081368481078e-13,1.19199457420957e-11,1.43845138466886e-09,0.14292560676721,1132.91496567096,0.250000044475825,2.03584313427973,1,0
1e-29,3.60822483003176e-16,0,2.96081368481078e-13,1.19199457420957e-11,1.43845138466886e-09,0.142925606767225,1132.91496567096,0.250000044475825,2.03584313427973,1,0
