t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000446418826247463,0.00219440798860954,0.0134393031231047,2.21963356307721e-05,17414.6961785284,0.160621065314315,0.290310253954506,1,0
0.1,5.55111512312578e-17,3,2.87782529304686e-06,1.28919854881231e-05,5.73474965811686e-05,0.384115590455758,80.8020227199727,0.160642060422818,0.290163070568721,1,0
0.001,5.55111512312578e-17,2,2.5749543904865e-08,1.15337693092557e-07,5.14186917850337e-07,0.426371729027108,80.8035926019732,0.160628010499208,0.290163150087837,1,0
1e-05,5.55111512312578e-17,2,2.49760084190015e-10,1.20475081901796e-09,2.89089631346673e-08,0.426794290368585,80.8036068310973,0.160627885146901,0.290163150794263,1,0
1e-07,2.08166817117217e-17,1,1.22384327567871e-11,4.91208208428619e-10,2.84309984625857e-08,0.426798515981995,80.8036069732553,0.160627883894729,0.290163150801319,1,0
1e-09,5.55111512312578e-17,1,1.35217998304115e-11,4.92276869404117e-10,2.84307505697784e-08,0.42679855823813,80.8036069746768,0.160627883882208,0.29016315080139,1,0
1e-11,1.11022302462516e-16,1,1.35364327048235e-11,4.92288885870809e-10,2.84307506143515e-08,0.42679855866069,80.8036069746913,0.160627883882083,0.290163150801391,1,0
1e-13,1.4432899320127e-15,0,1.35364327048235e-11,4.92288885870809e-10,2.84307506143515e-08,0.426798558664916,80.8036069746914,0.160627883882083,0.290163150801391,1,0
0,1.4432899320127e-15,0,1.35364327048235e-11,4.92288885870809e-10,2.84307506143515e-08,0.426798558664959,80.8036069746915,0.160627883882083,0.290163150801391,1,0
