t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000446422631305188,0.00219440372656041,0.0134366400196998,6.76427114401531e-05,5714.47289821501,0.160947906427005,0.29025210798422,1,0
0.1,5.84174165644939e-17,3,2.87431837572754e-06,1.28740134879262e-05,5.78468549785191e-05,0.556420967299669,44.9786509000184,0.16095773602686,0.290196888173364,1,0
0.001,5.55111512312578e-17,2,2.29207990987548e-08,2.06913319617e-07,7.54036255856102e-06,0.617636235589397,44.9805155108081,0.160943711074068,0.290197144160068,1,0
1e-05,3.29594607723918e-17,2,6.44492524067175e-09,1.84161268687701e-07,7.52232940226433e-06,0.618248388209639,44.9805323540979,0.160943585942741,0.29019714643949,1,0
1e-07,3.38271077815477e-17,1,6.57757115877053e-09,1.84277377588041e-07,7.52232222178787e-06,0.618254509735835,44.9805325223678,0.160943584692777,0.290197146462258,1,0
1e-09,3.1225022536699e-17,1,6.57893390724515e-09,1.84278573992782e-07,7.52232216718883e-06,0.618254570951097,44.9805325240506,0.160943584680277,0.290197146462486,1,0
1e-11,3.8163916471098e-17,1,6.57894754041684e-09,1.84278585959022e-07,7.52232216634355e-06,0.61825457156325,44.9805325240673,0.160943584680152,0.290197146462489,1,0
1e-13,1.36002320516582e-15,0,6.57894754041684e-09,1.84278585959022e-07,7.52232216634355e-06,0.618254571569372,44.9805325240675,0.160943584680152,0.290197146462489,1,0
