t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,ContL2Indicator,ContH1Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,1.88770322958068e-06,1.12991953381926e-05,0.000113335972258106,1.88770328893986e-06,1.10393574531128e-05,1.21256376654277e-06,318781.124714489,0.00987992535039179,0.0122429798304549,1,0
0.1,1.03557824614837e-16,2,2.51839038572391e-07,1.14301865451821e-06,5.38269609335125e-06,2.51839038556527e-07,1.13396423653083e-06,0.00582572617435134,451.355421453257,0.00999984044282618,0.0122139301949044,1,0
0.001,1.13237717136059e-19,2,1.98423133389289e-09,9.03546088211219e-09,4.30863370288315e-08,1.98423131790643e-09,8.96208304377729e-09,0.00646673507435338,451.525724123725,0.0100009647062053,0.0122128480104271,1,0
1e-05,1.05926552251834e-16,1,1.98207755443012e-11,9.03190794574996e-11,4.44210539476815e-10,1.98207597371153e-11,8.95385025856565e-11,0.00647314513342696,451.527284784048,0.0100009733682697,0.0122128395856092,1,0
1e-07,4.33680868994202e-19,1,2.19336805050307e-13,1.47429692181445e-12,1.06718481321888e-10,2.19321031680642e-13,1.4141252391462e-12,0.00647320923401689,451.527300377117,0.0100009733649804,0.0122128395015656,1,0
1e-09,1.94938346237922e-19,1,3.14369555654579e-14,1.04833751117548e-12,1.06576558269329e-10,3.14258855534267e-14,1.01301088287178e-12,0.00647320987502276,451.527300533049,0.0100009733641235,0.012212839500725,1,0
1e-11,5.18031798013574e-16,0,3.14369555654579e-14,1.04833751117548e-12,1.06576558269329e-10,3.14258855534267e-14,1.01301088287178e-12,0.00647320988143263,451.527300534769,0.0100009733641235,0.012212839500725,1,0
1e-13,5.23235968441504e-16,0,3.14369555654579e-14,1.04833751117548e-12,1.06576558269329e-10,3.14258855534267e-14,1.01301088287178e-12,0.00647320988149674,451.527300534787,0.0100009733641235,0.012212839500725,1,0
1e-27,5.23235968441504e-16,0,3.14369555654579e-14,1.04833751117548e-12,1.06576558269329e-10,3.14258855534267e-14,1.01301088287178e-12,0.00647320988149736,451.527300534788,0.0100009733641235,0.012212839500725,1,0
