t,ResidualInf,NewtonSteps,QuadL2Indicator,QuadH1Indicator,QuadH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627919410474,0.0316142802872956,0.283087547393341,2.99233116434841e-06,129177.694598757,-0.31861979032659,2.93810275838662,0.996219281663516,0.00378071833648393
0.1,1.65134160171202e-11,3,1.62245363652128e-05,7.24129608700824e-05,0.000330447050189762,0.201195466935878,563.976172013071,0.249934543316653,2.03417217907546,1,0
0.001,5.55111512312578e-16,2,1.45703798310215e-07,6.50329530942905e-07,2.96807987818577e-06,0.22332929759556,563.959964242973,0.249999748818754,2.03417432839808,1,0
1e-05,6.12954131895549e-13,1,1.45553844375742e-09,6.49661322848944e-09,2.96704738639052e-08,0.223550635832097,563.959818842525,0.250000116758757,2.03417434944178,1,0
1e-07,1.82145964977565e-16,1,1.44757974203011e-11,6.47115127244558e-11,1.22352849047757e-09,0.223552849214769,563.959817389173,0.250000110930965,2.03417434965199,1,0
1e-09,2.13262567327899e-16,1,9.81217796426535e-14,3.53845356519025e-12,1.09402003929454e-09,0.223552871348596,563.959817374638,0.250000110872686,2.03417434965409,1,0
1e-11,1.55853108196879e-12,0,9.81217796426535e-14,3.53845356519025e-12,1.09402003929454e-09,0.223552871569917,563.959817374656,0.250000110872686,2.03417434965409,1,0
1e-13,1.57418522661601e-12,0,9.81217796426535e-14,3.53845356519025e-12,1.09402003929454e-09,0.22355287157213,563.959817374656,0.250000110872686,2.03417434965409,1,0
1e-23,1.57429624891847e-12,0,9.81217796426535e-14,3.53845356519025e-12,1.09402003929454e-09,0.223552871572153,563.959817374655,0.250000110872686,2.03417434965409,1,0
