t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,ContL2Indicator,ContH1Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,5.73537417159641e-05,0.000368963019289103,0.00445182767070737,5.73537528131811e-05,0.000355218106168767,0.000162283882184732,2381.89052464571,0.249832333224876,0.340117386781767,1,0
0.1,5.55111512312578e-17,3,2.77289396301736e-07,1.27305342096875e-06,6.12739204108834e-06,2.77289396293127e-07,1.25942932293681e-06,0.762801021898508,32.4354991207622,0.249918005198746,0.339206916212317,1,0
0.001,5.55111512312578e-17,2,2.48493158611198e-09,1.14105863717933e-08,5.49535878727477e-08,2.4849315893029e-09,1.12883354007741e-08,0.846730695574833,32.4385988526814,0.249917097485264,0.339208564906365,1,0
1e-05,2.77555756156289e-16,1,2.48238513721602e-11,1.13986020579488e-10,5.48982178502442e-10,2.48238552032395e-11,1.12768395019068e-10,0.847569992304464,32.4386267603047,0.249917089372946,0.339208579682244,1,0
1e-07,5.55111512312578e-17,1,2.48527919870337e-13,1.14338720987126e-12,7.96369963404293e-12,2.48531347067268e-13,1.13429054073139e-12,0.847578385271762,32.4386270391027,0.249917089291909,0.339208579829849,1,0
1e-09,1.11022302462516e-16,1,3.89297090735526e-15,1.11536055424695e-13,5.78613106293333e-12,3.90183640940657e-15,1.05703813066921e-13,0.847578469201435,32.4386270418906,0.249917089291099,0.339208579831326,1,0
1e-11,5.55111512312578e-17,1,2.75922995228121e-15,1.11143844724731e-13,5.78457521000027e-12,2.76774319986674e-15,1.04914837043987e-13,0.847578470040732,32.4386270419185,0.249917089291091,0.339208579831341,1,0
