t,ResidualInf,NewtonSteps,QuadL2Indicator,QuadH1Indicator,QuadH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.00579627919667589,0.0316142766514743,0.282974170756037,2.21963356307721e-05,17414.6961785284,-0.160270376265856,2.77271188777092,0.99609375,0.00390625
0.1,1.04186128319031e-11,3,1.62245365083298e-05,7.24129614964873e-05,0.000330447009123706,0.40147399954355,190.34591404013,0.249935623306338,2.02943363559281,1,0
0.001,1.87350135405495e-16,2,1.4570394072812e-07,6.50330160382336e-07,2.96807419130206e-06,0.445642980149462,190.339955275542,0.250000813739138,2.02943845533199,1,0
1e-05,6.13953332617712e-13,1,1.45568090870548e-09,6.49723527881734e-09,2.96592924819231e-08,0.446084669835366,190.339901825616,0.250000473879786,2.02943849790795,1,0
1e-07,1.11022302462516e-16,1,1.46180742076082e-11,6.5265861053225e-11,9.31960082715665e-10,0.44608908673289,190.339901291354,0.250000468052467,2.02943849833323,1,0
1e-09,2.22044604925031e-16,1,2.14105055316508e-13,1.87227226587057e-12,7.17740763271229e-10,0.446089130901858,190.339901286015,0.250000467994163,2.02943849833748,1,0
1e-11,1.55875312657372e-12,0,2.14105055316508e-13,1.87227226587057e-12,7.17740763271229e-10,0.446089131343515,190.339901286027,0.250000467994163,2.02943849833748,1,0
1e-13,1.57440727122093e-12,0,2.14105055316508e-13,1.87227226587057e-12,7.17740763271229e-10,0.446089131347932,190.339901286027,0.250000467994163,2.02943849833748,1,0
0,1.5745182935234e-12,0,2.14105055316508e-13,1.87227226587057e-12,7.17740763271229e-10,0.446089131347978,190.339901286026,0.250000467994163,2.02943849833748,1,0
