t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,1.88770323319876e-06,1.13188588334516e-05,0.000113250513809512,1.87290029541882e-06,206387.08970896,0.00988188008251849,0.012239907778563,1,0
0.1,1.03641680876615e-16,2,2.51839013334752e-07,1.14376107139973e-06,5.38605110404538e-06,0.00674786495000375,360.350636312384,0.010000001004622,0.0122137334983583,1,0
0.001,1.72031475436513e-12,1,1.99104391547421e-09,9.07128361011986e-09,4.3223528934308e-08,0.00749039761289417,360.511277688098,0.01000112558604,0.0122126510392378,1,0
1e-05,1.06793913989822e-16,1,1.97954563329767e-11,9.01956025935462e-11,4.31424956779905e-10,0.0074978229341081,360.512744373016,0.0100011335859669,0.0122126431145258,1,0
1e-07,5.18000518780898e-12,0,1.97954563329767e-11,9.01956025935462e-11,4.31424956779905e-10,0.00749789718479792,360.512760344596,0.0100011335859669,0.0122126431145258,1,0
1e-09,5.23180403080165e-12,0,1.97954563329767e-11,9.01956025935462e-11,4.31424956779905e-10,0.00749789792730482,360.512760504311,0.0100011335859669,0.0122126431145258,1,0
1e-11,5.23232206259966e-12,0,1.97954563329767e-11,9.01956025935462e-11,4.31424956779905e-10,0.0074978979347299,360.512760505908,0.0100011335859669,0.0122126431145258,1,0
1e-13,5.23232726677009e-12,0,1.97954563329767e-11,9.01956025935462e-11,4.31424956779905e-10,0.00749789793480414,360.512760505924,0.0100011335859669,0.0122126431145258,1,0
1e-25,5.23232726677009e-12,0,1.97954563329767e-11,9.01956025935462e-11,4.31424956779905e-10,0.00749789793480491,360.512760505924,0.0100011335859669,0.0122126431145258,1,0
