t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000446422631305188,0.00219440372656041,0.0134366400196998,6.76427114401531e-05,5714.47289821501,0.160947906427005,0.29025210798422,1,0
0.1,3.53305995570707e-11,2,2.87432522510331e-06,1.28740438608353e-05,5.78470032291893e-05,0.556420967444227,44.9786508893595,0.160957736024753,0.290196888446854,1,0
0.001,4.5102810375397e-17,2,2.29207991002627e-08,2.06913319617552e-07,7.54036255795222e-06,0.617636235589398,44.980515510808,0.160943711074068,0.290197144160068,1,0
1e-05,1.92901250528621e-14,1,6.44492339109583e-09,1.84161268820251e-07,7.52232943200652e-06,0.618248388209607,44.9805323541019,0.160943585942789,0.290197146439484,1,0
1e-07,1.11022302462516e-16,1,6.57757115418191e-09,1.84277377578062e-07,7.52232222113162e-06,0.618254509735834,44.9805325223679,0.160943584692777,0.29019714646226,1,0
1e-09,1.31017419136015e-11,0,6.57757115418191e-09,1.84277377578062e-07,7.52232222113162e-06,0.618254570950097,44.9805325249239,0.160943584692777,0.29019714646226,1,0
1e-11,1.32327482305072e-11,0,6.57757115418191e-09,1.84277377578062e-07,7.52232222113162e-06,0.61825457156224,44.9805325249495,0.160943584692777,0.29019714646226,1,0
1e-13,1.32340804981368e-11,0,6.57757115418191e-09,1.84277377578062e-07,7.52232222113162e-06,0.618254571568361,44.9805325249498,0.160943584692777,0.29019714646226,1,0
