t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.0064152651542898,0.0328450334820701,0.273091304110153,1.87290029541892e-06,206387.089708949,-0.0717289754888812,0.539089599300999,0.854166666666667,0.145833333333333
0.995,7.20892817753947e-12,13,0.00697634207988581,0.0453102559871462,1.85562412304702,0.000167747477083021,2205.46826100513,-1.16554967290322,32.32510589648,0.810763888888889,0.177083333333333
0.992375,4.09625177726648e-14,13,0.00720537446416372,0.0429930133497106,0.967085758935031,0.000196095464112218,1834.415870705,-0.652965756002646,10.703812264478,0.861111111111111,0.116319444444444
0.990996875,3.14910596285682e-14,5,0.00736771121229066,0.044213863877598,1.04310939287941,0.000125275401736744,2832.83200303745,-0.685444206840799,14.6768322133289,0.857638888888889,0.126736111111111
0.98954984375,7.83821644132691e-12,4,0.00756527910225391,0.0463126696800421,1.13383531483391,0.000630215755281997,586.83199502174,-0.689583101655854,18.5886100060711,0.847222222222222,0.137152777777778
0.9880304609375,1.84286709461643e-12,4,0.00778520356303563,0.0491241036544042,1.25777946970223,0.000854454969039426,498.554790629939,-0.724199290362015,22.3562590810545,0.842013888888889,0.138888888888889
0.986435108984375,1.49796559024847e-15,4,0.00801798285967321,0.0522234308786556,1.40621079941625,0.000286411884372462,1696.32255735488,-0.948351549796453,25.8339261024955,0.835069444444444,0.145833333333333
0.984759989433594,5.878492219006e-11,3,0.00826162270563407,0.0552999074278684,1.56148556441871,0.000183265821305961,2995.39444236497,-1.10339154970595,28.9486146187281,0.833333333333333,0.147569444444444
0.983001113905273,5.37001616926142e-11,3,0.0085220653641339,0.0582869936795249,1.7135441574525,0.00134587952015604,456.86421569738,-1.16288589910092,31.4018622055146,0.829861111111111,0.144097222222222
0.981154294600537,8.56515027700247e-12,4,0.0088145141136999,0.0613362714065133,1.86253064870518,0.00171698292179162,398.340906555002,-1.09440035456614,32.763101386741,0.822916666666667,0.15625
0.979215134330564,1.34176400203182e-11,6,0.00913903233079397,0.0646344317031013,2.02455076964048,0.000622764143238025,1249.06343699907,-1.26399416838183,32.9628865163894,0.809027777777778,0.152777777777778
