t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.000228581856422986,0.00150108568001327,0.0180229202591189,0.00153153333167688,252.38808853063,0.24167207531531,0.400358458518138,1,0
0.1,1.11022302462516e-16,3,1.06614126380209e-06,4.89355626110087e-06,2.36418617533507e-05,1.65455519290495,9.68833112659047,0.249996131666783,0.398567790256824,1,0
0.001,5.55111512312578e-17,2,9.55555806127306e-09,4.38680796118518e-08,2.12072862837351e-07,1.8367720080292,9.6902433654698,0.249999965376399,0.398561426885168,1,0
1e-05,2.44249065417534e-15,1,9.54606936616686e-11,4.38252510951112e-10,2.11884196136771e-09,1.83859417604291,9.69026058842848,0.249999999659408,0.398561369861803,1,0
1e-07,7.97972798949331e-17,1,9.58324817623245e-13,4.40679366195025e-12,2.15614725998926e-11,1.83861239772304,9.6902607604869,0.250000000001873,0.39856136929217,1,0
