t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,1.88892701660917e-06,1.13357190644151e-05,0.000106627837080921,0.00702470023636448,54.9798326135908,0.00993673781032547,0.0122165605726102,1,0
0.1,6.95746510127578e-17,2,2.51898728186103e-07,1.1470755168791e-06,5.46762746286572e-06,0.106401597572821,4.41411336882899,0.0100035168873859,0.0122093796039118,1,0
0.001,1.71652470883077e-12,1,2.08078612804359e-09,9.62615002339571e-09,4.99111739900288e-08,0.118975812107605,4.45715665990115,0.0100047752833474,0.0122081465378574,1,0
1e-05,1.06468653338077e-16,1,1.30520779032615e-10,9.98677602072957e-10,1.14961479976416e-08,0.119101523521176,4.45755531304324,0.0100047851402906,0.0122081367940366,1,0
