t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,0.0057962788422314,0.0324325548298939,0.2798149213757,4.9733975654018e-06,77722.0071798769,-0.27768995651978,2.89616579174088,0.99546485260771,0.00453514739229025
0.1,1.42992533906256e-11,3,1.62245365291554e-05,7.30203732110871e-05,0.000332737450960647,0.239527034941017,429.193656520251,0.249934688181797,2.03327899298997,1,0
0.001,5.55111512312578e-16,2,1.4570395406438e-07,6.55787009911772e-07,2.98863726623764e-06,0.265877966182778,429.181011741539,0.249999891707005,2.0332817407194,1,0
1e-05,6.13842310315249e-13,1,1.45569423142278e-09,6.55196356271989e-09,2.98507375802422e-08,0.266141475412956,429.180898309024,0.250000165943971,2.03328176585898,1,0
1e-07,2.22044604925031e-16,1,1.46316287101077e-11,6.61041870028154e-11,4.26207783335025e-10,0.266144110505625,429.180897175217,0.250000160115915,2.03328176611011,1,0
1e-09,3.33066907387547e-16,1,2.40947954722942e-13,3.814212662558e-12,3.12032512668502e-10,0.266144136856547,429.180897163888,0.250000160057586,2.03328176611262,1,0
1e-11,1.55886414887618e-12,0,2.40947954722942e-13,3.814212662558e-12,3.12032512668502e-10,0.266144137120036,429.180897163904,0.250000160057586,2.03328176611262,1,0
1e-13,1.5745182935234e-12,0,2.40947954722942e-13,3.814212662558e-12,3.12032512668502e-10,0.26614413712267,429.180897163904,0.250000160057586,2.03328176611262,1,0
0,1.57462931582586e-12,0,2.40947954722942e-13,3.814212662558e-12,3.12032512668502e-10,0.266144137122697,429.180897163904,0.250000160057586,2.03328176611262,1,0
