t,ResidualInf,AuxResidualInf,MAResidualInf,LapTermInf,CubicTermInf,DetTermInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,AuxJacobianSigmaMin,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio,DetPositiveRatio,SolutionMin,SolutionMax
1,1.11022302462516e-16,1.11022302462516e-16,0.181605426116684,0.209587195845741,0.00201280415425876,0,67,0.0414960328140357,0.195251916673355,1.13189337150385,0.0464521211728865,3431.35530688216,0.0464521211728865,-1.69966692828602,1.82268247000369,0.380859375,0.619140625,0.380859375,3.84964378198387e-06,0.597264150821634
0.1,1.28927901341114e-15,0.220500999085132,0.0245001110094587,0.043087503006433,0.000122596902080205,0.168389900091487,4,0.00482740402443594,0.02266823929603,0.137364873606771,0.0155581929072801,9919.83699579253,0.0464521211734024,1.03263546554488e-05,0.669536994885418,1,0,1,7.48580339973097e-07,0.597268595824192
0.001,1.00841631383869e-11,0.249269385188043,0.000249518903781026,0.000459708349648933,1.1610355391098e-06,0.211139130615122,4,4.83324960105983e-05,0.000228520167322726,0.0014876165552479,0.00978865755901521,16324.4681824558,0.0464521211734458,0.0483292959993827,0.64850917618732,1,0,1,3.86786506066953e-07,0.597268722845192
1e-05,1.42843629096837e-14,0.249557503338975,2.49559998138915e-06,4.59997083489256e-06,1.16041984971791e-08,0.211595388424974,2,4.83325809330933e-07,2.28541226497497e-06,1.48924389642184e-05,0.00969669261618756,16485.2708374888,0.0464521211734469,0.0499837286849298,0.648360934962581,1,0,1,3.74453559379901e-07,0.597268723936867
1e-07,5.60181745041625e-12,0.24956038453828,2.49504391314215e-08,4.59999970842149e-08,1.1604136961305e-10,0.211599953889563,1,4.83199885035928e-09,2.28487432863627e-08,1.48959223256005e-07,0.0096957953011729,16486.8563226811,0.0464521211734469,0.0500009432457564,0.64835945485607,1,0,1,3.74325338580224e-07,0.597268723947767
1e-09,4.85314382957365e-16,0.249560413342954,2.49559928278131e-10,4.59999999708348e-10,1.16041363460651e-12,0.21159999953884,1,4.83284930051515e-11,2.28514355722322e-10,1.48899604054908e-09,0.00969578652416401,16486.8718454337,0.0464521211734471,0.0500011211817003,0.64835944026124,1,0,1,3.74324013916831e-07,0.597268723947876
1e-11,4.48215832578049e-17,0.249560413631073,2.49555931475243e-12,4.59999999997081e-12,1.16041363399115e-14,0.211599999995388,1,4.7937355986989e-13,2.26968424717637e-12,2.79149453440948e-11,0.00969578643436441,16486.872004113,0.0464521211734465,0.0500011229039008,0.648359440516404,1,0,1,3.74324001088279e-07,0.597268723947877
1e-13,2.47060327338907e-12,0.249560413631073,2.49555931475243e-12,4.59999999997081e-14,1.16041363399115e-16,0.211599999997483,0,4.7937355986989e-13,2.26968424717637e-12,2.79149453440948e-11,0.00969578643398007,16486.8720047871,0.0464521211734465,0.0500011229039008,0.648359440516404,1,0,1,3.74324001088279e-07,0.597268723947877
0,2.49555931475243e-12,0.249560413631073,2.49555931475243e-12,0,0,0.211599999997504,0,4.7937355986989e-13,2.26968424717637e-12,2.79149453440948e-11,0.00969578643397648,16486.8720047934,0.0464521211734465,0.0500011229039008,0.648359440516404,1,0,1,3.74324001088279e-07,0.597268723947877
