t,ResidualInf,NewtonSteps,GridL2Indicator,FDH1Indicator,FDH2Indicator,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,0,0,1.88770314499732e-06,1.13686378351094e-05,0.000112991714228019,3.14728340393747e-05,12281.7805604335,0.00989588484346657,0.0122209281817413,1,0
0.1,1.05501235833194e-16,2,2.51839017706404e-07,1.14568303589188e-06,5.39471060836629e-06,0.017537377611426,82.3093839493955,0.0100019735831838,0.0122113251691938,1,0
0.001,1.72031475436513e-12,1,1.99104828763013e-09,9.08685983252772e-09,4.32937235693143e-08,0.0194706198847627,82.4127114434986,0.0100030984344141,0.0122102421769394,1,0
1e-05,1.07010754424319e-16,1,1.97998288969921e-11,9.03791835350742e-11,4.30993152077243e-10,0.0194899523184737,82.4136486515729,0.0100031069091947,0.0122102339476616,1,0
1e-07,5.18000540464941e-12,0,1.97998288969921e-11,9.03791835350742e-11,4.30993152077243e-10,0.0194901456372582,82.4136583151747,0.0100031069091947,0.0122102339476616,1,0
1e-09,5.23180424764208e-12,0,1.97998288969921e-11,9.03791835350742e-11,4.30993152077243e-10,0.0194901475704461,82.4136584118099,0.0100031069091947,0.0122102339476616,1,0
1e-11,5.23232227944009e-12,0,1.97998288969921e-11,9.03791835350742e-11,4.30993152077243e-10,0.019490147589778,82.4136584127761,0.0100031069091947,0.0122102339476616,1,0
1e-13,5.23232748361052e-12,0,1.97998288969921e-11,9.03791835350742e-11,4.30993152077243e-10,0.0194901475899713,82.4136584127858,0.0100031069091947,0.0122102339476616,1,0
1e-15,5.23232748361052e-12,0,1.97998288969921e-11,9.03791835350742e-11,4.30993152077243e-10,0.0194901475899732,82.413658412786,0.0100031069091947,0.0122102339476616,1,0
